ts,block_type,n_blocks
2018/11/29 1:57:43 AM,blocks_recv,0
2018/11/29 1:57:43 AM,blocks_sent,1
2018/11/29 1:57:43 AM,blocks_dup,0
2018/11/29 1:59:48 AM,blocks_recv,0
2018/11/29 1:59:48 AM,blocks_sent,1
2018/11/29 1:59:48 AM,blocks_dup,0
2018/11/29 2:01:51 AM,blocks_recv,0
2018/11/29 2:01:51 AM,blocks_sent,1
2018/11/29 2:01:51 AM,blocks_dup,0
2018/11/29 2:03:55 AM,blocks_recv,0
2018/11/29 2:03:55 AM,blocks_sent,1
2018/11/29 2:03:55 AM,blocks_dup,0
2018/11/29 2:05:58 AM,blocks_recv,0
2018/11/29 2:05:58 AM,blocks_sent,1
2018/11/29 2:05:58 AM,blocks_dup,0
2018/11/29 2:08:03 AM,blocks_recv,0
2018/11/29 2:08:03 AM,blocks_sent,1
2018/11/29 2:08:03 AM,blocks_dup,0
2018/11/29 2:10:07 AM,blocks_recv,0
2018/11/29 2:10:07 AM,blocks_sent,1
2018/11/29 2:10:07 AM,blocks_dup,0
2018/11/29 2:12:11 AM,blocks_recv,0
2018/11/29 2:12:11 AM,blocks_sent,1
2018/11/29 2:12:11 AM,blocks_dup,0
2018/11/29 2:14:15 AM,blocks_recv,0
2018/11/29 2:14:15 AM,blocks_sent,1
2018/11/29 2:14:15 AM,blocks_dup,0
2018/11/29 2:16:19 AM,blocks_recv,0
2018/11/29 2:16:19 AM,blocks_sent,1
2018/11/29 2:16:19 AM,blocks_dup,0
2018/11/29 2:18:23 AM,blocks_recv,0
2018/11/29 2:18:23 AM,blocks_sent,1
2018/11/29 2:18:23 AM,blocks_dup,0
2018/11/29 2:20:26 AM,blocks_recv,0
2018/11/29 2:20:26 AM,blocks_sent,1
2018/11/29 2:20:26 AM,blocks_dup,0
2018/11/29 2:22:30 AM,blocks_recv,0
2018/11/29 2:22:30 AM,blocks_sent,1
2018/11/29 2:22:30 AM,blocks_dup,0
2018/11/29 2:24:33 AM,blocks_recv,0
2018/11/29 2:24:33 AM,blocks_sent,1
2018/11/29 2:24:33 AM,blocks_dup,0
2018/11/29 2:26:37 AM,blocks_recv,0
2018/11/29 2:26:37 AM,blocks_sent,1
2018/11/29 2:26:37 AM,blocks_dup,0
2018/11/29 2:28:41 AM,blocks_recv,0
2018/11/29 2:28:41 AM,blocks_sent,1
2018/11/29 2:28:41 AM,blocks_dup,0
2018/11/29 2:30:44 AM,blocks_recv,0
2018/11/29 2:30:44 AM,blocks_sent,1
2018/11/29 2:30:44 AM,blocks_dup,0
2018/11/29 2:32:49 AM,blocks_recv,0
2018/11/29 2:32:49 AM,blocks_sent,1
2018/11/29 2:32:49 AM,blocks_dup,0
2018/11/29 2:34:52 AM,blocks_recv,0
2018/11/29 2:34:52 AM,blocks_sent,1
2018/11/29 2:34:52 AM,blocks_dup,0
2018/11/29 2:36:55 AM,blocks_recv,0
2018/11/29 2:36:55 AM,blocks_sent,1
2018/11/29 2:36:55 AM,blocks_dup,0
2018/11/29 2:38:58 AM,blocks_recv,0
2018/11/29 2:38:58 AM,blocks_sent,1
2018/11/29 2:38:58 AM,blocks_dup,0
2018/11/29 2:41:02 AM,blocks_recv,0
2018/11/29 2:41:02 AM,blocks_sent,1
2018/11/29 2:41:02 AM,blocks_dup,0
2018/11/29 2:43:07 AM,blocks_recv,0
2018/11/29 2:43:07 AM,blocks_sent,1
2018/11/29 2:43:07 AM,blocks_dup,0
2018/11/29 2:45:10 AM,blocks_recv,0
2018/11/29 2:45:10 AM,blocks_sent,1
2018/11/29 2:45:10 AM,blocks_dup,0
2018/11/29 2:47:14 AM,blocks_recv,0
2018/11/29 2:47:14 AM,blocks_sent,1
2018/11/29 2:47:14 AM,blocks_dup,0
2018/11/29 2:49:17 AM,blocks_recv,0
2018/11/29 2:49:17 AM,blocks_sent,1
